輯冊	法鼓全輯2020紀念版書名	#	相關書刊名	出版者	出版年	典藏地	索書號 / 條碼號
04-07	心的詩偈―信心銘講錄	3	信心銘講錄 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	4	信心銘講錄 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	5	心的詩偈 : 信心銘講錄 / 聖嚴法師.	法鼓文化,	1997	DILA典藏(總)	
04-08	禪的世界	1	禪的世界 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-08	禪的世界	2	禪的世界 / 聖嚴法師著.	法鼓文化事業股份有限公司, (四版)	2018	DILA典藏(總)	
04-08	禪的世界	3	禅的世界 / 圣严法师著.	华东师范大学出版社, (第1版)	2014	DILA典藏(總)	
04-08	禪的世界	4	禅的世界 / 圣严法师著.	上海三聯書店, (第1版.)	2006	DILA典藏(總)	
04-08	禪的世界	5	禪的世界 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-08	禪的世界	6	禪的世界 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-08	禪的世界	7	禪的世界 / 聖嚴法師著.	法鼓文化, (初版)	1998	DILA典藏(總)	B 866.3 1666-3.1 [2002]
04-08	禪的世界	8	禪的世界 / 聖嚴法師講.	東初, (初版)	1994	DILA典藏(總)	
04-09	禪鑰	1	禪鑰 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-09	禪鑰	2	禪鑰 / 聖嚴法師著.	法鼓文化, (四版)	2017	DILA典藏(總)	
04-09	禪鑰	3	禪鑰 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-09	禪鑰	4	禪鑰 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-09	禪鑰	5	禪鑰 / 聖嚴法師講.	東初, (初版)	1996	DILA典藏(總)	
04-10	禪門	1	禪門(大字版) / 聖嚴講 ; 果光主編.	法鼓文化, (初版)	2022	DILA典藏(總)	
04-10	禪門	2	禪門 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-10	禪門	3	禪門 / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
04-10	禪門	4	禪門 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-10	禪門	5	禪門 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-10	禪門	6	禪門 / 聖嚴講 ; 果光主編.	法鼓文化, (初版)	1996	DILA典藏(總)	
04-11	聖嚴說禪	1	聖嚴說禪 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-11	聖嚴說禪	2	聖嚴說禪 = Master Sheng Yen on 100 chan phrases / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
04-11	聖嚴說禪	3	聖嚴說禪 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-11	聖嚴說禪	4	聖嚴說禪 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-11	聖嚴說禪	5	聖嚴說禪 : 100個醒世‧明心的智慧禪語 / 聖嚴法師著.	遠流, (初版)	1996	DILA典藏(總)	
04-11	聖嚴說禪	6	聖嚴說禪 / 聖嚴法師著.	法鼓文化, (初版)	1996	DILA典藏(總)	
04-12	公案一○○	1	公案一00 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-12	公案一○○	2	公案100 : 探索心靈的具體方法 = 100 chan gongan / 聖嚴法師著 ; 尤俠繪.	法鼓文化, (四版)	2017	DILA典藏(總)	
04-12	公案一○○	3	公案100 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-12	公案一○○	4	公案100 聖嚴法師	法鼓文化, (初版)	2000	DILA典藏(總)	
04-13	動靜皆自在	1	動靜皆自在 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
04-13	動靜皆自在	2	動靜皆自在 = Liberated in stillness and motion / 聖嚴法師著.	法鼓文化, (二版)	2016	DILA典藏(總)	
04-13	動靜皆自在	3	動靜皆自在 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-13	動靜皆自在	4	動靜皆自在 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
04-14	神會禪師的悟境	1	神會禪師的悟境 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-14	神會禪師的悟境	2	神會禪師的悟境 / 聖嚴法師著.	法鼓文化, (三版)	2019	DILA典藏(總)	
04-14	神會禪師的悟境	3	神會禪師的悟境 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-14	神會禪師的悟境	4	神會禪師的悟境 / 聖嚴法師著.	法鼓文化, (初版)	2000	DILA典藏(總)	
04-15	聖嚴法師教禪坐	1	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-15	聖嚴法師教禪坐	2	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (大字版初版)	2017	DILA典藏(總)	
04-15	聖嚴法師教禪坐	3	圣严法师教禅坐 / 圣严法师著.	华东师范大学, (第1版)	2012	DILA典藏(總)	
04-15	聖嚴法師教禪坐	4	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (三版.)	2009	DILA典藏(總)	
04-15	聖嚴法師教禪坐	5	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (二版)	2007	DILA典藏(總)	B 632 1666-2.1 2007
04-15	聖嚴法師教禪坐	6	圣严法师教禅坐 / 圣严法师著.	宗教文化出版社, (第1版)	2006	DILA典藏(總)	
04-15	聖嚴法師教禪坐	7	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-15	聖嚴法師教禪坐	8	聖嚴法師教禪坐 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-15	聖嚴法師教禪坐	9	聖嚴法師教禪坐 / 聖嚴法師講.	東初, (二版)	1996	DILA典藏(總)	
04-15	聖嚴法師教禪坐	10	聖嚴法師教禪坐 / 聖嚴法師講.	東初, (初版)	1996	DILA典藏(總)	
04-16	聖嚴法師教默照禪	1	聖嚴法師教默照禪 / 聖嚴法師著.	法鼓文化, (三版)	2022	DILA典藏(總)	B 866.3 1666-6.3 2022
04-16	聖嚴法師教默照禪	2	聖嚴法師教默照禪 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
04-16	聖嚴法師教默照禪	3	圣严法师教默照禅 / 圣严法师著.	法鼓文化, (初版)	2019	DILA典藏(總)	
04-16	聖嚴法師教默照禪	4	聖嚴法師教默照禪(大字版) / 聖嚴法師著.	法鼓文化, (初版)	2019	DILA典藏(總)	
04-16	聖嚴法師教默照禪	5	圣严法师教默照禅 / 圣严法师著.	江蘇文藝出版社, (第1版.)	2010	DILA典藏(總)	
04-16	聖嚴法師教默照禪	6	聖嚴法師教默照禪 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-16	聖嚴法師教默照禪	7	聖嚴法師教默照禪 / 聖嚴法師著	法鼓文化, 初版	2004	台大典藏	226.6 2616-3
04-17	聖嚴法師教話頭禪	1	聖嚴法師教話頭禪 / 聖嚴法師著.	法鼓文化, (二版)	2020	DILA典藏(總)	
04-17	聖嚴法師教話頭禪	2	聖嚴法師教話頭禪(大字版) / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	
04-17	聖嚴法師教話頭禪	3	圣严法师教话头禅 / 圣严法师著.	江苏文艺出版社, (第1版.)	2010	DILA典藏(總)	
04-17	聖嚴法師教話頭禪	4	聖嚴法師教話頭禪 / 聖嚴法師著.	法鼓文化, (初版.)	2009	DILA典藏(總)	
04-18	禪的理論與實踐	1	禪的理論與實踐(大字版) / 聖嚴法師著.	法鼓文化, (初版)	2021	DILA典藏(總)	
04-18	禪的理論與實踐	2	禪的理論與實踐 / 聖嚴法師著.	法鼓文化, (二版)	2020	DILA典藏(總)	BT 082.8 1666 2020 v.4 no.18
04-18	禪的理論與實踐	3	禪的理論與實踐 / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	B 639.1 1666-5
05-01	佛教入門	1	佛教入門 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
05-01	佛教入門	2	佛教入門 / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
05-01	佛教入門	3	佛教入門(大字版) / 聖嚴法師著.	法鼓文化, (大字版初版)	2016	DILA典藏(總)	
05-01	佛教入門	5	佛教入門 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
05-01	佛教入門	6	佛教入門 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
05-01	佛教入門	7	佛教入門 / 聖嚴法師著.	東初, (修訂版)	1995	DILA典藏(總)	
05-01	佛教入門	8	佛教入門 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.24
05-01	佛教入門	9	佛教入門 / 釋聖嚴著.	東初, (五版)	1988	DILA典藏(總)	B 010 1666-1 1988 c.2
05-01	佛教入門	10	禪與科學 / 釋聖嚴著.	東初, (二版)	1985	DILA典藏(總)	B 072.8 1666-20 1985
05-01	佛教入門	11	佛教與佛學 / 釋聖嚴撰	中華佛教文化館,	1979		220.7 1666-7
05-01	佛教入門	12	佛陀示現人間 / 釋聖嚴著.	益友出版社,	1979	DILA典藏(總)	B 010 1666
05-01	佛教入門	4	海潮音叢刊 / 海潮音月刊社主編.	新文豐, (台一版.)	2006	DILA典藏(總)	B 051 3307 v.1 no.6
05-02	正信的佛教	1	正信的佛教 / 聖嚴法師著.	法鼓文化, (六版)	2020	DILA典藏(總)	
05-02	正信的佛教	2	正信的佛教 = Correct Buddhist belife / 聖嚴法師著.	法鼓文化, (五版)	2016	DILA典藏(總)	
05-02	正信的佛教	3	正信的佛教 / 圣严法师著.	华文出版社, (第1版)	2015	DILA典藏(總)	
05-02	正信的佛教	4	正信的佛教(大字版) = Correct Buddhist belief / 聖嚴法師著.	法鼓文化, (初版)	2015	DILA典藏(總)	
05-02	正信的佛教	5	正信的佛教 / 聖嚴法師著.	法鼓文化, (五版)	2005	DILA典藏(總)	
05-02	正信的佛教	6	正信的佛教 / 聖嚴法師著.	法鼓文化, (四版)	1999	DILA典藏(總)	
05-02	正信的佛教	7	正信佛教˙漢藏佛學 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
05-02	正信的佛教	8	正信的佛教 / 聖嚴法師著.	東初出版社, (二十二版)	1990	DILA典藏(總)	
05-02	正信的佛教	9	正信的佛教 / 聖嚴法師著.	東初, (十二版)	1988	DILA典藏(總)	
05-02	正信的佛教	10	正信的佛教 / 聖嚴法師著.	普門,	1981	DILA典藏(總)	
05-02	正信的佛教	11	正信的佛教 / 釋聖嚴撰	天華,	1979	國圖典藏	225.022 8748
05-02	正信的佛教	12	正信的佛教 / 聖嚴法師著.	中華佛教文化館,	1978	DILA典藏(總)	
05-02	正信的佛教	13	正信的佛教 / (釋)聖嚴撰	人乘佛教書籍,	1977	國圖典藏	225.022 8748 66-2
05-02	正信的佛教	14	正信的佛教 / (釋)聖嚴撰	無量壽, 再版	1977	國圖典藏	225.022 8748 66
05-02	正信的佛教	15	正信的佛教 / 聖嚴法師著	千量法錦,	1976	國圖典藏	225.022 8748 65
05-02	正信的佛教	16	正信的佛教 / 聖嚴法師著	佛教文化服務處,	1974	國圖典藏	225.022 8748 63
05-02	正信的佛教	17	正信的佛教 / 釋聖嚴撰	佛教文化服務處,	1965	國圖典藏	225.022 8748 54
05-03	學佛群疑	1	學佛群疑 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
05-03	學佛群疑	2	學佛群疑 = Questions and answers on Buddhism / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
05-03	學佛群疑	3	學佛群疑(大字版) = Questions and answers on Buddhist / 聖嚴法師著.	法鼓文化, (初版)	2016	DILA典藏(總)	
05-03	學佛群疑	4	學佛群疑 / 圣严法师著.	华文出版社, (第1版)	2015	DILA典藏(總)	
05-03	學佛群疑	5	學佛群疑 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
05-03	學佛群疑	6	學佛群疑 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
05-03	學佛群疑	7	學佛群疑 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
05-03	學佛群疑	8	學佛群疑 / 釋聖嚴著.	東初出版社, (三版)	1989	DILA典藏(總)	
05-03	學佛群疑	9	學佛群疑 / 釋聖嚴著.	東初出版社, (初版)	1988	DILA典藏(總)	B 010.35 1666-1
05-04	學佛知津	1	學佛知津 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
05-04	學佛知津	2	學佛知津 / 聖嚴法師著.	法鼓文化, (大字版初版)	2020	DILA典藏(總)	
05-04	學佛知津	3	學佛知津 / 聖嚴法師著.	法鼓文化, (三版)	2017	DILA典藏(總)	
05-04	學佛知津	4	学佛知津 / 圣严法师著.	華夏, (第1版)	2010	DILA典藏(總)	
05-04	學佛知津	5	學佛知津 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
05-04	學佛知津	6	學佛知津 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
05-04	學佛知津	7	學佛知津 / 釋聖嚴著.	東初出版社, (再版)	1986	DILA典藏(總)	B 620 1666
05-04	學佛知津	8	學佛知津 / 釋聖嚴著	東初, 初版	1985		
05-04	學佛知津	9	佛教實用法 / 聖嚴法師著	中華佛教文化館東初出版社,	1981	國圖典藏	225.07 848 70
05-04	學佛知津	10	學佛知津 / 釋聖嚴著	東初, 初版	1979		220.7 1666-2 1979
05-04	學佛知津	11	瓔珞 / 釋聖嚴著	開元寺佛經流通處,	1968	國圖典藏	220.7 8748-13
05-04	學佛知津		什麼是佛教	佛教文化服務處,	1964		
05-04	學佛知津	12	佛教實用法 / 聖嚴法師著	佛教文化服務處	1964	存目	
05-05	律制生活	1	律制生活 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
05-05	律制生活	2	律制生活 = Living by the Monastic Precepts / 聖嚴法師著.	法鼓文化, (三版)	2018	DILA典藏(總)	
05-05	律制生活	3	律制生活 / 圣严法师著.	華夏, (第1版)	2010	DILA典藏(總)	
05-05	律制生活	4	律制生活 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
05-05	律制生活	5	律制生活 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
05-05	律制生活	6	律制生活 / 聖嚴法師著.	東初, (修訂版)	1995	DILA典藏(總)	
05-05	律制生活	7	律制生活 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
05-05	律制生活	8	佛教制度與生活 / 釋聖嚴著.	東初, (三版)	1988	DILA典藏(總)	B 620 1666-1 1988
05-05	律制生活	9	佛教制度與生活 / 釋聖嚴著.	東初, (新二版)	1987	DILA典藏(總)	B 620 1666-1 1987 c.2
05-05	律制生活	10	聖嚴法師文集 / 釋聖嚴著.	覺世旬刊社, (初版)	1963	DILA典藏(總)	BT 072.8 1666-14
05-06	聖者的故事	1	聖者的故事 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
05-06	聖者的故事	2	聖者的故事 = STORIES OF BUDDHIST SAINTS / 聖嚴法師著.	法鼓文化, (三版)	2017	DILA典藏(總)	
05-06	聖者的故事	3	圣者的故事 / 圣严法师著.	華夏, (第1版)	2010	DILA典藏(總)	
05-06	聖者的故事	4	聖者的故事 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
05-06	聖者的故事	5	聖者的故事 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
05-06	聖者的故事	6	聖者的故事 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
05-06	聖者的故事	7	聖者的故事 / 釋聖嚴著.	東初, (三版)	1987	DILA典藏(總)	BT 281 1666.1 1987
05-06	聖者的故事	8	聖者的故事 / 釋聖嚴著.	東初, (再版)	1984	DILA典藏(總)	B 281 1666.1 1984
05-06	聖者的故事	9	聖徒的故事 / 釋聖嚴撰	中華佛教文化館東初出版社,	1980		228.19 624
05-06	聖者的故事	10	聖徒的故事	中華佛教文化館東初出版社,	1969	北市大典藏	229.3 2616
05-06	聖者的故事	11	聖徒的故事	開元寺佛經流通處,	1968	待尋	待尋
05-06	聖者的故事	11	聖徒的故事	開元寺佛經流通處,	1967	待尋	待尋
05-07	念佛生淨土	1	念佛生淨土 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
05-07	念佛生淨土	2	念佛生淨土. 大字版 / 聖嚴法師著.	法鼓文化, (初版)	2017	DILA典藏(總)	
05-07	念佛生淨土	3	念佛生淨土 / 聖嚴法師著.	法鼓文化, (三版)	2017	DILA典藏(總)	
05-07	念佛生淨土	4	念佛生淨土 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
05-07	念佛生淨土	5	念佛生淨土 / 聖嚴法師著.	法鼓文化, (二版)	2002	DILA典藏(總)	
05-07	念佛生淨土	6	念佛生淨土 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
05-07	念佛生淨土	7	念佛生淨土 / 聖嚴法師著.	東初, (初版)	1995	DILA典藏(總)	
05-08-01	漢傳佛教的智慧生活（修訂版）	1	漢傳佛教的智慧生活 / 聖嚴法師著.	法鼓文化, (二版)	2021	DILA典藏(總)	
05-08-01	漢傳佛教的智慧生活（修訂版）	2	漢傳佛教的智慧生活 ; 佛法的知見與修行 / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	
05-08-01	漢傳佛教的智慧生活（修訂版）	3	漢傳佛教的智慧生活 / 聖嚴法師 等著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 072.8 1666-1
05-08-02	佛法的知見與修行	1	佛法的知見與修行(大字版) / 聖嚴法師著.	法鼓文化, (初版)	2022	DILA典藏(總)	
05-08-02	佛法的知見與修行	2	漢傳佛教的智慧生活 ; 佛法的知見與修行 / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	
05-08-02	佛法的知見與修行	3	佛法的知見與修行 = The doctrine and practice of Buddhism / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	
05-08-02	佛法的知見與修行	4	祈願.發願.還願 = Praying, Making and Fulfilling a Vow / 法鼓文化編輯部.	法鼓文化, (二版)	2019	DILA典藏(總)	B 630 3402 2019
05-08-02	佛法的知見與修行	5	大智慧過生活 / [聖嚴法師著 ; 朱德庸編繪]	法鼓山慈善基金會（初版）	2009	聖嚴基金會PDF	
05-08-02	佛法的知見與修行	6	祈願．發願．還願	法鼓文化, (初版)	2008	私人典藏	
05-08-02	佛法的知見與修行	7	大智慧過生活 / [聖嚴法師著 ; 朱德庸編繪]	法鼓山佛教基金會,	2005	國圖典藏	225.7 8748-20
05-09	聖嚴法師教觀音法門	1	聖嚴法師教觀音法門 / 聖嚴法師口述 ; 梁寒衣整理.	法鼓文化, (三版)	2022	DILA典藏(總)	B 642.1 1666 2022
05-09	聖嚴法師教觀音法門	2	聖嚴法師教觀音法門 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
05-09	聖嚴法師教觀音法門	3	圣严法师教观音法门 / 圣严法师口述 ; 梁寒衣整理.	法鼓文化, (初版)	2019	DILA典藏(總)	
05-09	聖嚴法師教觀音法門	4	聖嚴法師教觀音法門(大字版) = Master Sheng Yen on Gugnyin Bodhisatytva’s Methods /	法鼓文化, (初版)	2018		
05-09	聖嚴法師教觀音法門	5	圣严法师敎观音法门 / 圣严法师著 ; 梁寒衣整理.	江蘇文藝出版社, (第1版.)	2010	DILA典藏(總)	
05-09	聖嚴法師教觀音法門	6	聖嚴法師教觀音法門 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	B 082.8 1666 2005 v.36
05-09	聖嚴法師教觀音法門	7	聖嚴法師教觀音法門 / 聖嚴法師口述, 梁寒衣整理.	法鼓文化, (初版)	2003	DILA典藏(總)	B 642.1 1666 c.2
05-10	聖嚴法師教淨土法門	1	聖嚴法師教淨土法門 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
05-10	聖嚴法師教淨土法門	2	聖嚴法師教淨土法門 / 聖嚴法師著.	法鼓文化, (二版)	2020	DILA典藏(總)	
05-10	聖嚴法師教淨土法門	3	圣严法师教净土法门 / 圣严法师着.	法鼓文化, (初版)	2019	DILA典藏(總)	
05-10	聖嚴法師教淨土法門	4	聖嚴法師教淨土法門(大字版) / 聖嚴法師著.	法鼓文化, (初版)	2019	DILA典藏(總)	
05-10	聖嚴法師教淨土法門	5	聖嚴法師教淨土法門 / 聖嚴法師著.	法鼓文化, (初版.)	2010	DILA典藏(總)	B 876.4 1666
05-10	聖嚴法師教淨土法門	6	四弘誓願講記, 普賢菩薩行願讚講記, 慈雲懺主淨土文講記 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
05-10	聖嚴法師教淨土法門	7	四弘誓願講記, 普賢菩薩行願讚講記, 慈雲懺主淨土文講記 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.53
05-10	聖嚴法師教淨土法門	8	慈雲懺主淨土文 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
06-01	歸程	1	歸程 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
06-01	歸程	2	歸程 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
06-01	歸程	3	歸程 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
06-01	歸程	4	歸程 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
06-01	歸程	5	歸程 / 聖嚴法師.	東初, (修訂版)	1995	DILA典藏(總)	
06-01	歸程	6	歸程 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-01	歸程	7	歸程 / 聖嚴法師著.	東初, (第五版)	1988	DILA典藏(總)	
06-01	歸程	8	歸程 / 聖嚴法師著.	東初, (再版)	1984	DILA典藏(總)	
06-01	歸程	9	歸程 / ( 釋 )聖嚴撰	開元寺佛經流通處,	1968	國圖典藏	229.386 8748-5
06-02	法源血源	1	法源血源 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
06-02	法源血源	2	法源血源 / 聖嚴法師著.	法鼓文化, (三版)	2019	DILA典藏(總)	
06-02	法源血源	3	法源血源 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
06-02	法源血源	4	法源血源 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
06-02	法源血源	5	法源血源 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-02	法源血源	6	法源血源 : 記大陸探親十九天 / 釋聖嚴著.	東初,	1988	DILA典藏(總)	
06-03	佛國之旅	1	佛國之旅 / 聖嚴法師著.		2020	DILA典藏(總)	
06-03	佛國之旅	2	佛國之旅 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
06-03	佛國之旅	3	佛國之旅 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
06-03	佛國之旅	4	佛國之旅 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-03	佛國之旅	5	佛國之旅 / 釋聖嚴著.	東初, (初版)	1990	DILA典藏(總)	
06-04	金山有鑛	1	金山有鑛 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
06-04	金山有鑛	2	金山有鑛 = A mine in golden mountain / 聖嚴法師著.	法鼓文化, (二版)	2016	DILA典藏(總)	
06-04	金山有鑛	3	金山有鑛 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
06-04	金山有鑛	4	金山有鑛 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
06-04	金山有鑛	5	金山有鑛 / 釋聖嚴著.	撰者, (初版)	1999	DILA典藏(麗)	855 2616 1999 / C065482
06-04	金山有鑛	6	金山有鑛 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-04	金山有鑛	7	金山有鑛 / 釋聖嚴著.	東初出版社, (初版)	1991	DILA典藏(總)	
06-05	火宅清涼	1	火宅清涼 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
06-05	火宅清涼	2	火宅清涼 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
06-05	火宅清涼	3	火宅清涼 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
06-05	火宅清涼	4	火宅清涼 / 聖嚴法師著.	法鼓文化, (修訂版)	1995	DILA典藏(總)	
06-05	火宅清涼	5	火宅清涼 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-05	火宅清涼	6	火宅清涼 : 中國佛教藝術之旅 / 釋聖嚴著.	東初, (初版)	1992	DILA典藏(總)	
06-06	東西南北	1	東西南北 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
06-06	東西南北	2	東西南北 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
06-06	東西南北	3	東西南北 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
06-06	東西南北	4	東西南北 / 聖嚴法師著.	圓神, (初版)	1994	DILA典藏(總)	
06-06	東西南北	5	東西南北 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
06-06	東西南北	6	東西南北 / 聖嚴法師著.	東初, (初版)	1992	DILA典藏(總)	
06-07	春夏秋冬	1	春夏秋冬 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
